,cresturl,team
0,https://cdn.ssref.net/req/202311071/tlogo/fb/822bd0ba.png,Liverpool
1,https://cdn.ssref.net/req/202311071/tlogo/fb/18bb7c10.png,Arsenal
0,https://cdn.ssref.net/req/202311071/tlogo/fb/8602292d.png,Aston Villa
1,https://cdn.ssref.net/req/202311071/tlogo/fb/b8fd03ef.png,Manchester City
0,https://cdn.ssref.net/req/202311071/tlogo/fb/361ca564.png,Tottenham Hotspur
0,https://cdn.ssref.net/req/202311071/tlogo/fb/19538871.png,Manchester United
0,https://cdn.ssref.net/req/202311071/tlogo/fb/b2b47a98.png,Newcastle United
0,https://cdn.ssref.net/req/202311071/tlogo/fb/d07537b9.png,Brighton and Hove Albion
0,https://cdn.ssref.net/req/202311071/tlogo/fb/7c21e445.png,West Ham United
0,https://cdn.ssref.net/req/202311071/tlogo/fb/fd962109.png,Fulham
0,https://cdn.ssref.net/req/202311071/tlogo/fb/cd051869.png,Brentford
0,https://cdn.ssref.net/req/202311071/tlogo/fb/cff3d9bb.png,Chelsea
0,https://cdn.ssref.net/req/202311071/tlogo/fb/8cec06e1.png,Wolverhampton Wanderers
0,https://cdn.ssref.net/req/202311071/tlogo/fb/4ba7cbea.png,Bournemouth
0,https://cdn.ssref.net/req/202311071/tlogo/fb/47c64c55.png,Crystal Palace
0,https://cdn.ssref.net/req/202311071/tlogo/fb/e4a775cb.png,Nottingham Forest
0,https://cdn.ssref.net/req/202311071/tlogo/fb/d3fd31cc.png,Everton
0,https://cdn.ssref.net/req/202311071/tlogo/fb/e297cd13.png,Luton Town
0,https://cdn.ssref.net/req/202311071/tlogo/fb/943e8050.png,Burnley
0,https://cdn.ssref.net/req/202311071/tlogo/fb/1df6b87e.png,Sheffield United
0,https://cdn.ssref.net/req/202311071/tlogo/fb/a2d435b3.png,Leicester City
0,https://cdn.ssref.net/req/202311071/tlogo/fb/5bfb9659.png,Leeds United
0,https://cdn.ssref.net/req/202311071/tlogo/fb/33c895d4.png,Southampton
0,https://cdn.ssref.net/req/202311071/tlogo/fb/2abfe087.png,Watford
0,https://cdn.ssref.net/req/202311071/tlogo/fb/1c781004.png,Norwich City
